Titlu	Autor	communal_coef	aesthetic_coef	dark_coef	thrilling_coef	cerebral_coef	Link	Description
Toti oamenii sunt muritori	Simone de Beauvoir	6	3	3	1	6	https://www.goodreads.com/book/show/3685393-to-i-oamenii-sunt-muritori?from_search=true&from_srp=true&qid=1tqy9x6hmH&rank=1	O meditatie sclipitor-paradoxala si profunda, "Toti oamenii sunt muritori" e romanul in care Simone de Beauvoir isi ia toate libertatile posibile pentru a scrie despre putere, dragoste, istorie si nemurire. Regine, o tanara si ambitioasa actrita dornica sa cucereasca Parisul e nemultumita de viata ei si isi doreste atentie, iubire si faima, insa pana intalneste un barbat straniu care pretinde ca a dormit 60 de ani. Fosca nu e nebun, desi a stat la ospiciu: e nemuritor.
Biblioteca de la miezul noptii	Matt Haig	2	4	4	4	6	https://www.goodreads.com/book/show/55306054-biblioteca-de-la-miezul-nop-ii?ac=1&from_search=true&qid=phJLiJfEm3&rank=1	Undeva, la marginea universului, există o bibliotecă infinită de cărți, iar fiecare poveste din ele provine dintr-o altă realitate. Una spune povestea vieții tale așa cum e, alta spune povestea vieții tale așa cum ar fi fost dacă ai fi luat altă decizie într-un anumit moment. Toți ne întrebăm mereu cum ar fi putut să fie viețile noastre. Dar dacă am găsi răspunsul într-o bibliotecă?
Omul in cautarea sensului vietii	Viktor E. Frankl	1	3	4	1	10	https://www.goodreads.com/book/show/18303517-omul-n-c-utarea-sensului-vie-ii?from_search=true&from_srp=true&qid=CPT617nfUP&rank=1	Omul în căutarea sensului vieţii este mai mult decât povestea biruinţei lui Viktor E. Frankl asupra morţii: este o remarcabilă combinaţie de ştiinţă şi umanism şi o introducere în cea mai semnificativă mişcare psihologică a zilelor noastre. - Gordon W. Allport, psiholog
Între două fronturi	Oana David	9	3	1	9	1	https://www.goodreads.com/book/show/57685031-ntre-dou-fronturi?from_search=true&from_srp=true&qid=2Uz7qGqzNF&rank=1	Cu inima împărțită între loialitatea față de țară și iubirea pentru un ofițer german, Lulli Leonida-Lăzărescu, soție-trofeu și o femeie înaintea epocii sale, trăiește o aventură pasionantă, ce o duce din Bucureștiul boem al Athénée Palace-ului şi Capșei, mișunând de spioni și informatori, de ofițeri și diplomați nemți și soțiile lor, până în Berlinul bombardat de după război, odată cu schimbarea hărţii Europei. 
Tatuatorul de la Auschwitz	Heather Morris	5	1	10	6	3	https://www.goodreads.com/book/show/42526899-tatuatorul-de-la-auschwitz?from_search=true&from_srp=true&qid=AelTGdMqdZ&rank=1	Tatuatorul de la Auschwitz se bazează pe povestea din spatele unuia dintre cele mai puternice simboluri ale Holocaustului: numerele verzi-albăstrui tatuate pe brațele prizonierilor, femei și bărbați deopotrivă. Când lui Lale i se oferă ocazia de a fi Tätowierer la Auschwitz, tânărul evreu slovac înțelege că aceasta poate fi șansa lui să supraviețuiască, deși trebuie să-și înțepe până la sânge semenii, act pe care îl resimte ca pe o dureroasă profanare. De la masa la care lucrează, nici nu i se permite să ridice capul spre cei al căror destin îl pecetluiește astfel. Dar într-o zi reușește să surprindă privirea unei tinere al cărei nume îl află în cele din urmă: Gita.
Fiica Reichului	Louise Fein	10	1	10	4	1	https://www.goodreads.com/book/show/57061252-fiica-reichului?from_search=true&from_srp=true&qid=uhwsSBb2cv&rank=1	Leipzig, 1930. Hetty Heinrich este fiica unui înalt ofițer nazist și sora unui pilot Luftwaffe, crescută cu dorința arzătoare de a-și juca rolul în gloriosul Reich de O Mie de Ani. Crede cu ardoare în țara ei și în omul care o conduce. Dar asta până când îl reîntâlnește pe Walter, prietenul ei evreu din copilărie, care îi aruncă în aer toate certitudinile. Cei doi încep o poveste de dragoste care le pune viața în pericol, odată ce valul de antisemitism devine un tsunami. Ca să-l salveze pe Walter, Hetty va trebui să sacrifice totul – iubirea de țară, legăturile de familie, poate chiar propria viață.
Scrisoarea pierduta de la Auschwitz	Anna Ellory	5	1	10	5	1	https://www.goodreads.com/book/show/59693388-scrisoarea-pierduta-de-la-auschwitz?from_search=true&from_srp=true&qid=QLvXqMyrWB&rank=1	Berlin, 1989. În vreme ce zidul dintre Est și Vest se prăbușește, Miriam Winter îl îngrijește pe tatăl ei, Henryk, aflat pe moarte. Când acesta strigă, în agonie, numele Frieda – și fiica sa descoperă pe încheietura lui un tatuaj de la Auschwitz, ascuns sub cureaua ceasului –, istoria secretă a lui Henryk începe să iasă la iveală. Căutând indicii despre trecutul tatălui ei, Miriam găsește o uniformă de deținută din lagărul pentru femei de la Ravensbrück, ascunsă printre lucrurile mamei sale. În tivul rochiei, ea descoperă pitite scrisorile Friedei către Henryk, din care află adevărul răscolitor despre fetele supuse experimentelor medicale în lagăr. Și, pe fundalul poveștilor despre sacrificiu și rezistență ale acelor tinere, Miriam pune cap la cap o poveste de dragoste rămasă ascunsă aproape cincizeci de ani în inima tatălui ei. Inspirată de femeile acelea extraordinare, Miriam se străduiește să dărâme zidurile pe care și le-a ridicat în jur. Pentru că speranța supraviețuiește chiar și în vremurile cele mai întunecate.
Huliganii	Mircea Eliade	8	1	5	5	1	https://www.goodreads.com/book/show/6979071-huliganii?from_search=true&from_srp=true&qid=pQJzWpLUZl&rank=1	Multe dintre resorturile, mai mult sau mai puţin (ne)văzute ale lui Alexandru Pleşa, Petru Anicet ori Mitică Gheorghiu acţionează în virtutea acestei inconştienţe cultivate, a virulenţei deliberate. O agresivitate aparent dezorientată, dar vizând, în fapt, topirea oricăror limite, nu doar a simplelor convenienţe sociale, şi pe care pasionalitatea vieţii interbelice româneşti (şi nu numai), cu otrăviri, dueluri, crime şi sinucideri din amor mereu la ordinea zilei, o presupunea şi o susţinea din plin. Mult sadism masculin, dar şi mult masochism feminin în Huliganii. Faţă de senzualitatea frizând isteria, deopotrivă a fecioarelor şi a prostituatelor, dilemele lui Alexandru privind libertatea individuală („imperfectă“) şi cea colectivă („a speciei umane, grandioasă, euforică“) ţin de conversaţiile de salon ale adolescenţilor acneici. Cum să nu gândească Dragu („cu ură“), aflând decizia lui Pleşa de-a se însura cu prima fată care-i iese-n cale, că are de-a face cu „un imbecil frumos, care-şi născoceşte probleme de conştiinţă“? „Senzaţia de frig, de umezeală, de singurătate ajunsese insuportabilă“. Şi tot el conchide: „Fiecare om vrea să fie liber în viaţă, dar toţi fug de consecinţele libertăţii lor“. - DAN C. MIHĂILESCU
Femei	Charles Bukowski	5	1	5	5	1	https://www.goodreads.com/book/show/15830434-femei?from_search=true&from_srp=true&qid=jJmBxwkzul&rank=1	Protagonistul romanului Femei, Henry Chinaski (alter ego al autorului, prezent in mai multe carti ale sale), este un scriitor alcoolic, mare amator de femei, macinat de gindul ratarii. Dincolo de obsesia pentru sex, bautura si pariuri la curse si de predilectia pentru scenele de umor negru care rasar, alaturi de erotismul dezlantuit, la fiecare pagina, se ghiceste disperarea naratorului care-si striga singuratatea, nevoia de tandrete si compasiune.
În căutarea oii fantastice	Haruki Murakami	4	3	2	8	4	https://www.goodreads.com/book/show/13497091-n-c-utarea-oii-fantastice?from_search=true&from_srp=true&qid=FGKb318TZj&rank=1	Într-o bună zi, un tînăr agent publicitar din Tokyo primește de la un vechi prieten o fotografie a unui peisaj muntos, cu pășuni întinse și turme de oi. Tînărul se hotărăște să insereze fotografia, aparent inofensivă, în paginile unui buletin publicitar. Din acel moment, viața lui, pînă atunci obișnuită și anostă, se va transforma într-o adevărată aventură: un bărbat misterios își face apariția și îl obligă să pornească în căutarea unei oi înzestrate cu puteri supranaturale. Aventura îl vă purta pînă în munții înzăpeziți din nordul îndepărtat al Japoniei, iar căutarea oii va deveni, în același timp, și căutarea sinelui.
Legiunea blestematilor	Sven Hassel	1	3	10	5	5	https://www.goodreads.com/book/show/16138805-legiunea-blestematilor?from_search=true&from_srp=true&qid=j1chNC0ycW&rank=2	Sven Hassel's books have sold 52 million copies worldwide. The critically acclaimed Legion of the Damned has already been translated into 15 languages, and will soon reach the attention of even more readers when it becomes a movie. Hassel, a Danish volunteer who served in the German army throughout WWII, based this story on his own horrific experiences fighting on the Russian front. Never before has violence been described in such graphic and realistic detail.
Înțelepciunea psihopaților	Kevin Dutton	1	1	7	6	8	https://www.goodreads.com/book/show/27421007-n-elepciunea-psihopa-ilor?from_search=true&from_srp=true&qid=zhrRw8Q08r&rank=1	Optimismul extrem este o marca distinctiva a psihopatilor, ei fiind mereu in stare sa intoarca pana si cea mai pacatoasa situatie in favoarea lor. Manat de curiozitate, Dutton incepe un periplu amplu si epuizant intre cele mai cunoscute laboratoare psihologice, inchisori de maxima securitate, tribunale si birourile luxoase ale diferitelor categorii de lideri. El incearca, pe diferite cai, sa patrunda in mintea acelor oameni care si-au facut din crima un mod de viata, de la cei mai duri soldati din teatrele de lupta din Irak si Afganistan, pana la cei mai periculosi criminali din cel mai bine pazit spital de psihiatrie din regatul britanic. La urma urmelor, sugereaza psihologul, diferenta intre aceste categorii, si multe altele – chirurgi, manageri, violatori, brokeri, escroci de anvergura, politicieni, preoti carismatici – este de grad, nu de esenta.
Camera minunilor	Julien Sandrel	8	3	8	3	3	https://www.goodreads.com/book/show/46212846-camera-minunilor?from_search=true&from_srp=true&qid=zvwvJZm3cc&rank=1	Louis are 12 ani. În dimineața în care îi mărturisește mamei lui, Thelma, că s-a îndrăgostit pentru prima oară, ea nu este atentă la el, se gândește la altceva. Supărat și dezamăgit, băiatul își ia skateboardul și pleacă în grabă. Când traversează strada fără să se asigure, un camion îl lovește în plin. Prognosticul doctorilor e sumbru. Dacă în patru săptămâni nu-și revine din comă, Louis va trebui deconectat de la aparate. Cuprinsă de disperare, Thelma se întoarce de la spital și găsește un carnet al fi ului ei. În el, sunt notate toate „minunile” lui, adică toate experiențele pe care i-ar plăcea să le trăiască. Thelma hotărăște să experimenteze tot ce-și propusese Louis și să-i povestească toate aceste „minuni”, în speranța că așa își va reveni din comă. Dar nu e tocmai ușor să trăiești visurile unui adolescent când ai aproape 40 de ani.
25 de moduri de a-i cuceri pe cei din jur	John C. Maxwell	4	1	1	1	10	https://www.goodreads.com/book/show/49505968-25-de-moduri-de-a-i-cuceri-pe-cei-din-jur?from_search=true&from_srp=true&qid=ArrhQSBBro&rank=1	„Daca pui in practica abilitatile din aceasta carte, viata ta se va schimba. De ce? Pentru ca ii vei putea ajuta pe ceilalti sa se vada pe ei insisi intr-o lumina favorabila, ii vei face adeseori sa se simta excelent. Nu cred ca exista o bucurie mai mare in viata decat sa ii vezi pe ceilalti cum infloresc, cresc si isi ating potentialul. Aceasta carte te poate ajuta sa faci asta pentru oamenii din viata ta.“ John C. Maxwell
Employer Branding For Dummies	Richard Mosley, Lars Schmidt	4	1	1	1	10	https://www.goodreads.com/book/show/34088435-employer-branding-for-dummies?from_search=true&from_srp=true&qid=1AFZltCpU5&rank=2	Employer Branding For Dummies is the clear, no-nonsense guide to attracting and retaining top talent. Written by two of the most recognized leaders in employer brand, Richard Mosley and Lars Schmidt, this book gives you actionable advice and expert insight you need to build, scale, and measure a compelling brand. You'll learn how to research what makes your company stand out, the best ways to reach the people you need, and how to convince those people that your company is the ideal place to exercise and develop their skills. The book includes ways to identify the specific traits of your company that aligns with specific talent, and how to translate those traits into employer brand tactic that help you draw the right talent, while repelling the wrong ones. You'll learn how to build and maintain your own distinctive, credible employer brand; and develop a set of relevant, informative success metrics to help you measure ROI. This book shows you how to discover and develop your employer brand to draw the quality talent you need. Perfect your recruitment marketing Develop a compelling employer value proposition (EVP) Demonstrate your employer brand ROI Face it: the very best employees are the ones with the most options. Why should they choose your company? A strong employer brand makes the decision a no-brainer. It's good for engagement, good for retention, and good for the bottom line. Employer Branding For Dummies helps you hone in on your unique, compelling brand, and get the people you need today.
Mortal Engines	Philip Reeve	3	3	3	10	1	https://www.goodreads.com/book/show/287861.Mortal_Engines?from_search=true&from_srp=true&qid=3NH5MlTWhA&rank=1	"It was a dark, blustery afternoon in spring, and the city of London was chasing a small mining town across the dried-out bed of the old North Sea." The great traction city London has been skulking in the hills to avoid the bigger, faster, hungrier cities loose in the Great Hunting Ground. But now, the sinister plans of Lord Mayor Mangus Crome can finally unfold. Thaddeus Valentine, London's Head Historian and adored famous archaeologist, and his lovely daughter, Katherine, are down in The Gut when the young assassin with the black scarf strikes toward his heart, saved by the quick intervention of Tom, a lowly third-class apprentice. Racing after the fleeing girl, Tom suddenly glimpses her hideous face: scarred from forehead to jaw, nose a smashed stump, a single eye glaring back at him. "Look at what your Valentine did to me!" she screams. "Ask him! Ask him what he did to Hester Shaw!" And with that she jumps down the waste chute to her death. Minutes later Tom finds himself tumbling down the same chute and stranded in the Out-Country, a sea of mud scored by the huge caterpillar tracks of cities like the one now steaming off over the horizon. In a stunning literary debut, Philip Reeve has created a painful dangerous unforgettable adventure story of surprises, set in a dark and utterly original world fueled by Municipal Darwinism -- and betrayal.
Focus: The Hidden Driver of Excellence	Daniel Goleman	1	1	1	1	10	https://www.goodreads.com/book/show/17349126-focus?from_search=true&from_srp=true&qid=KC4rZjP1Z0&rank=8	For more than two decades, psychologist and journalist Daniel Goleman has been scouting the leading edge of the human sciences for what's new, surprising, and important. In Focus, he delves into the science of attention in all its varieties, presenting a long overdue discussion of this little-noticed and under-rated mental asset that matters enormously for how we navigate life. Attention works much like a muscle: use it poorly and it can wither; work it well and it grows. In an era of unstoppable distractions, Goleman persuasively argues that now more than ever we must learn to sharpen focus if we are to contend with, let alone thrive, in a complex world.
Winnetou	Karl May	2	1	2	10	1	https://www.goodreads.com/book/show/2833018-winnetou-i---iv?from_search=true&from_srp=true&qid=034SX5FnvE&rank=1	Karl May's most popular work originally published in 1892 and influenced by Harriet Beecher Stowe, Winnetou is the story of a young Apache chief told by his white friend and blood-brother Old Shatterhand. The action takes place in the U.S. Southwest, in the latter half of the 1800s, where the Indian way of life is threatened by the first transcontinental railroad. Winnetou, the only Native Indian chief who could have united the various rival tribes to reach a settlement with the whites, is murdered. His tragic death foreshadows the death of his people. May's central theme here, as in much of his work, is the relationship between aggression, racism, and religious intolerance.
Singur pe Lume	Hector Malot	7	1	9	1	1	https://www.goodreads.com/book/show/8544468-singur-pe-lume?from_search=true&from_srp=true&qid=aU8dEDSBpK&rank=1	Istoria unui orfan, micul Remi, care trăiește în casa unei femei, tușa Barberin, dar soțul acesteia, Jerome, suferă un accident grav fiind zidar astfel încît îl închiriază pe copil unui proprietar de circ, Vitalis, care dădea mici reprezentații alături de un cățel, Remi, care-i conduce pe Dolce și Zerbino, alți căței artiști și o maimuță dresată, Suflețel. Romanul se termină în clipa în care Remi reușește să-și găsească cu ajutorul lui Mattia familia și are o urmare care se numește chiar așa, În familie.
Vraciul	Tadeusz Dołęga-Mostowicz	10	1	4	8	1	https://www.goodreads.com/book/show/8600908-vraciul?from_search=true&from_srp=true&qid=UH1TctAzhd&rank=3	O poveste impresionanta despre acceptarea destinului si despre puterea omului de a se adapta si a supravietui. Doctorul Rafal Wilczur are deosebite insusiri sufletesti si o uriasa capacitate de daruire. Cu toate acestea, soarta il supune unui lung sir de lovituri. Prof. dr. Rafal Wilczur este o somitate in lumea medical pentru operatiile chirurgicale de succes. Familist convins, este devotat sotiei si fiicei, dar meseria ii rapeste mult timp si ii neglijeaza pe cei dragi. Dupa o operatie grea, doctorul fuge acasa, incarcat de daruri, dar constata ca, satula sa-l astepte, sotia a luat fetita si l-a parasit. Disperat, incepe sa le caute, apoi sa bea in baruri, unde e batut si talharit. Cand se trezeste, nu mai stie nici unde se afla si nici cine este iar banii si actele i-au disparut. Cu ce situatii limita se va confrunta eroul nostru ramane sa vedem.
Brave New World	Aldous Huxley	1	4	4	8	4	https://www.goodreads.com/book/show/5129.Brave_New_World?from_search=true&from_srp=true&qid=Dpiq5J83Gw&rank=1	Brave New World is a dystopian novel by English author Aldous Huxley, written in 1931 and published in 1932. Largely set in a futuristic World State, inhabited by genetically modified citizens and an intelligence-based social hierarchy, the novel anticipates huge scientific advancements in reproductive technology, sleep-learning, psychological manipulation and classical conditioning that are combined to make a dystopian society which is challenged by only a single individual: the story's protagonist.
Head First Design Patterns	Eric Freeman, Kathy Sierra, Bert Bates, Elisabeth Robson	2	2	1	1	10	https://www.goodreads.com/book/show/58128.Head_First_Design_Patterns?from_search=true&from_srp=true&qid=Ru7WFkvEDE&rank=1	At any given moment, somewhere in the world someone struggles with the same software design problems you have. You know you don't want to reinvent the wheel (or worse, a flat tire), so you look to Design Patterns--the lessons learned by those who've faced the same problems. With Design Patterns, you get to take advantage of the best practices and experience of others, so that you can spend your time on...something else. Something more challenging. Something more complex. Something more fun.
Murder on the Orient Express	Agatha Christie	1	1	4	10	3	https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express?from_search=true&from_srp=true&qid=oLyNkM5t21&rank=1	Just after midnight, a snowdrift stops the famous Orient Express in its tracks as it travels through the mountainous Balkans. The luxurious train is surprisingly full for the time of the year but, by the morning, it is one passenger fewer. An American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside. One of the passengers is none other than detective Hercule Poirot. On vacation. Isolated and with a killer on board, Poirot must identify the murderer—in case he or she decides to strike again.
27 de Pași	Tibi Ușeriu	4	3	3	10	5	https://www.goodreads.com/book/show/34385450-27-de-pa-i?from_search=true&from_srp=true&qid=ZCdHOSLxnW&rank=1	Lumea mă știe drept alergător de anduranță. Ce nu știe, însă, e povestea vieților mele paralele. Am fost pe rând: slugă la ciobani pe Bârgaie, porcar în armata română, azilant politic în Berlin, pizzar într-un restaurant italian, bodyguard la un interlop sârb, martor într-o galerie de alba-neagra în Gran Canaria și autor de jafuri armate. Am evadat din două închisori europene, dar nu și din a treia. Vânat prin Interpol, am devenit client al unei pușcării de maximă securitate. Drept urmare, timp de aproape 10 ani am lipsit la apel din propria tinerețe, închis complet singur între 4 ziduri albe, foarte groase. Cei care au auzit de mine după ce am câștigat 6633 Arctic Ultra vor descoperi în această carte povestea mea așa cum n-o știe și n-a auzit-o nimeni, niciodată. La fel și cei care, fără să fi întrebat înainte, m-au ales ca subiect al examenului de capacitate la limba română.
Dark Cockpit	Octavian Pantiș, Emil Dobrovolschi	2	2	1	1	10	https://www.goodreads.com/book/show/48752048-dark-cockpit-cum-s-comunici-s-conduci-i-s-fii-n-control-tot-timpu?from_search=true&from_srp=true&qid=7Wo7O9SXkD&rank=1	Cititorii au ocazia foarte rară și fascinantă de a intra în cabina de pilotaj, de a afla mai multe decât știu de regulă pasagerii și de a înțelege mecanismele, termenii și procedurile care fac din industria aviației cea mai sigură și mai rapidă modalitate de a ajunge dintr-un punct în altul de pe glob, precum și o referință pentru multe alte industrii.
Codul lui Da Vinci	Dan Brown	1	3	3	10	6	https://www.goodreads.com/book/show/15864191-codul-lui-da-vinci?from_search=true&from_srp=true&qid=gdUnvxFsSg&rank=1	"Opera unui geniu. Dan Brown e unul dintre cei mai buni, cei mai inteligenţi scriitori." - Nelson DeMille Aflat la Paris pentru o conferinţă, profesorul american de simbolistică şi istoria artei Robert Langdon primeşte un telefon în toiul nopţii. Bătrânul custode al Luvrului a fost asasinat în muzeu, în circumstanţe stranii, lăsând un mesaj la fel de enigmatic ca zâmbetul Giocondei. Împreună cu Sophie, specialistă în decriptare, Langdon începe o cursă frenetică pentru descifrarea numeroaselor indicii ascunse în picturile lui Leonardo... şi nu numai. Paşii îi poartă de la Paris la Londra şi apoi în Scoţia, pentru a dezvălui un mister păzit cu străşnicie de secole, capabil să zguduie din temelii dogmele creştinătăţii. Roman ecranizat în 2006 de Columbia Pictures.
Răscoala	Liviu Rebreanu	1	4	4	6	8	https://www.goodreads.com/book/show/6741063-r-scoala?from_search=true&from_srp=true&qid=Q2fv4LrWvi&rank=1	Roman cinematografic, roman al gloatei, cum îl numea George Călinescu, este unul dintre capodoperele literaturii române interbelice. Evident, autorul s-a inspirat dintr-un eveniment real, răscoala țăranilor din 1907. Volumul întâi, Se mișcă țara! prezintă toate etapele premergătoare și acumulările de energie populară, în timp ce al doilea volum, Focurile descrie chiar momentele desfășurării răscoalei țărănești. Titlurile capitolelor au valoare simbolică: Răsăritul, Pământurile, Flămânzii. Autorul surprinde foarte exact ceea ce psihologul francez Gustave le Bon numea la psyhologie de la foule(psihologia mulțimii).
Laleaua Neagră	Alexandre Dumas	6	3	1	10	3	https://www.goodreads.com/book/show/36190902-laleaua-neagra-aventurile-lui-lyderic?from_search=true&from_srp=true&qid=K4c3rSAUbu&rank=1	Laleaua neagră, publicat în 1850, este un roman istoric a cărui acţiune se petrece la sfârşitul secolului al XVII-lea, surprinzând evenimentele prin care Wilhelm de Orania preia puterea în Olanda, pe fondul masacrului fraţilor Johan şi Cornelius de Witt, acuzaţi de înţelegeri secrete cu Franţa. În acest timp, departe de tumultul politic, tânărul Cornelius van Baërle, finul lui Cornelius de Witt, se dedică pasiunii cultivării de lalele, încercând să creeze o lalea neagră, pentru care Societatea Horticolă din Haarlem oferă un premiu de o sută de mii de florini.Văzându-l aproape izbutind acest lucru, vecinul său, din invidie şi avariţie, îl denunţă drept complice al lui Cornelius de Witt. Acuzat de înaltă trădare, van Baërle ajunge astfel la temniţă. Singura lui consolare este Roza, frumoasa fiică a temnicerului, care îl ajută să născocească un plan pentru a-şi creşte laleaua în secret. Răsturnările de situaţie menţin suspansul până în ultimele pagini ale cărţii.
Mă dor strămoşii	Patrice Van Eersel	5	3	3	1	10	https://www.goodreads.com/book/show/30840038-m-dor-str-mo-ii?from_search=true&from_srp=true&qid=avbQPx6OZM&rank=1	Ma dor stramosii prezinta o colectie de interviuri cu cei mai importanti reprezentanti ai unui nou curent in psihoterapie: psihogenealogia. Punctul de plecare al acestei orientari este descoperirea faptului ca o parte semnificativa a nevrozelor si problemelor cu care ne confruntam repeta nevrozele si problemele altor membri ai familiei – parinti, unchi, bunici sau chiar stramosi mai indepartati. Unele relatari par sa tina de domeniul anecdoticului – de exemplu, tulburarile de respiratie ale unui pacient au fost rezolvate in momentul cand a aflat ca unul din bunici s-a sufocat in transee, datorita armelor chimice folosite de germani in Primul razboi mondial. In ce masura iubirile, revoltele, deznadejdile vietii noastre repeta trairile si alegerile inaintasilor nostri? Constientizarea faptului ca printr-o fidelitate inconstienta fata de familia de origine putem face alegeri care nu ne apartin intru totul, este o descoperire eliberatoare. Nu suntem condamnati sa repetam vietile parintilor si bunicilor nostri. Avem libertatea de a alege.
Călătorie în jurul omului	Alexandru N. Stermin	1	5	1	1	10	https://www.goodreads.com/book/show/59091845-c-l-torie-n-jurul-omului?from_search=true&from_srp=true&qid=mK4NYPh0uK&rank=1	„Biologul Alexandru Stermin călătorește în jurul lumii. Ceea ce începe ca un periplu în lumea biologiei, a neuroștiințelor și a psihologiei se transformă într-o incursiune în lumea ideilor și concepțiilor despre univers. Ca într-o călătorie pe suprafața unei hipersfere care se închide, Alexandru Stermin părăsește zona unde cultura noastră pune omul în centru, ca să regăsească în îndepărtări, paradoxal, același om cu întrebările lui cele mai adânci. Cartea este un excelent jurnal de călătorie care combină biologia, neuroștiințele și cultura filozofică, chestionând propriile noastre concepte și credințe despre ceea ce suntem și care este locul nostru în natură.“ — CRISTIAN PRESURĂ
Sapiens: A Brief History of Humankind	Yuval Noah Harari	5	2	1	1	10	https://www.goodreads.com/book/show/23692271-sapiens?from_search=true&from_srp=true&qid=JXCwKYvJJf&rank=2	100,000 years ago, at least six human species inhabited the earth. Today there is just one. Us. Homo sapiens. How did our species succeed in the battle for dominance? Why did our foraging ancestors come together to create cities and kingdoms? How did we come to believe in gods, nations and human rights; to trust money, books and laws; and to be enslaved by bureaucracy, timetables and consumerism? And what will our world be like in the millennia to come?
Rugăciune pentru Cernobîl	Svetlana Alexievich	1	3	6	1	10	https://www.goodreads.com/book/show/52769643-rug-ciune-pentru-cernob-l?from_search=true&from_srp=true&qid=tBjfqp9Eka&rank=1	În 26 aprilie 1986, o serie de explozii au zguduit reactorul nuclear de la Cernobîl. Flăcările au aprins cerul, iar radiațiile rezultate au contaminat pământul și au otrăvit oamenii vreme de ani întregi. În timp ce autoritățile au încercat să mușamalizeze efectele accidentului, Svetlana Aleksievici a petrecut mai mulți ani adunând mărturii de la supraviețuitori – foști muncitori la centrală, oameni de știință, medici, soldați, pompieri, strămutați, văduve, orfani –, ale căror voci compun o istorie orală marcată de frică, furie și incertitudine, dar și de umor negru și iubire. Cronică a trecutului și avertisment pentru viitor, Rugăciune pentru Cernobîl este o carte crucială care, datorită forței emoționale și onestității sale, rămâne o amintire de neșters în mintea cititorului. 
Gânduri către sine însuși	Marc Aurelius	3	6	3	1	8	https://www.goodreads.com/book/show/58892241-ganduri-c-tre-sine-nsu-i?from_search=true&from_srp=true&qid=bKOyuO0M9d&rank=1	„Marcus Aurelius a fost primul personaj care s-a aventurat sistematic pe teritoriul eului, care l-a vizitat şi care a scris de fapt un tratat despre tehnici de ameliorare şi de ţinere în frâu a eului propriu.“ — GABRIEL LIICEANU
Uluitorul Maurice si rozătoarele lui educate	Terry Pratchett	7	3	1	8	1	https://www.goodreads.com/book/show/13247327-uluitorul-maurice-si-rozatoarele-lui-educate?from_search=true&from_srp=true&qid=2e2t71vNWB&rank=1	Maurice, un motan istet ¸scolit pe maidane, pune la punct escrocheria perfecta prin care poate face bani. Toata lumea cunoaste povestile despre sobolani si fluierasi, iar Maurice are la dispozitie un pusti cu mutra de prostanac si care canta din fluier, si propria lui ceata de sobolani invadatori - niste sobolani ciudat de educati. Dar in Bad Incontra, dintr-odata, mica smecherie nu mai functioneaza. Caci acolo cineva canta o melodie cu totul diferita, si acum sobolanii trebuie sa invete un nou cuvant: NEFAST. Nu mai e vorba aici despre un joc. Este o lume in care sobolanii ii mananca pe sobolani. Si acesta ar putea fi doar inceputul..
Procesul	Franz Kafka	3	2	8	1	6	https://www.goodreads.com/book/show/26479237-procesul?ac=1&from_search=true&qid=SDgPV7GptM&rank=1	A fost o perioada cand opera lui Ion Luca Caragiale se identifica perfect cu societatea romaneasca de dupa Revoluta din Decembrie 1989. Acum, acea perioada a trecut. De catva ani, capodopera universala a lui Franz Kafka, Procesul, unul din cele mai importante romane ale secolului XX scris in 1914, se identifica mult mai bine ca atmosfera si percepte. Procesul poate fi considerat drept un studiu despre puterea politica, o parabola religioasa pesimista, sau un roman politist. Este povestea de cosmar a unui functionar de banca respectabil care este brusc si inexplicabil arestat si trebuie sa se apere singur impotriva unei acuzatii despre care el nu poate obtine nicio informatie. Confruntat cu aceasta situatie ambigua dar amenintatoare, cedeaza treptat sub presiunea psihologica. Indiferent daca a fost citit ca o poveste existentiala, o parabola, sau o profetie a exceselor birocratiei moderne vecina cu nebunia totalitarismului, cosmarul kafkian a rezonat cu realitatea cruda pentru toate generatiile de cititori. Una dintre figurile iconice ale literaturii lumii moderne, Kafka vorbeste aici despre problemele universale de vinovatie, responsabilitate, si libertate. Despre conditia umana care arunca un individ izolat intr-un sistem impersonal, ilogic, si ridica probleme provocatoare, tot mai relevante, cu privire la rolul guvernului si natura justitiei.
La răscruce de vânturi	Emily Brontë	9	3	4	5	3	https://www.goodreads.com/book/show/23764317-la-r-scruce-de-v-nturi?from_search=true&from_srp=true&qid=COR99pti8D&rank=2	La răscruce de vânturi a fost singurul roman scris de Emily Bronte. Este o poveste de dragoste plină de forţă, care trece prin toate etapele trăirilor şi ale vieţii: iubire, ură, amărăciune, naştere, renaştere, luptă, recurgând în final la moarte, ca ultimă soluţie pentru rezolvarea conflictelor. Romanul se întinde pe parcursul a treizeci de ani, fiind narat mai întâi de domnul Lockwood, iar apoi de credincioasa menajeră, Ellen Dean. 
